country,rank,name,id,releaseDate,Primary_Genre,Artist
us,103,This Past Weekend,1190981360,2021-02-06,Stand-Up,Theo Von
us,104,Oprah’s SuperSoul Conversations,1264843400,2020-10-28,Society & Culture,Oprah
us,105,Duolingo Spanish Podcast,1317493077,2020-10-22,Education,Duolingo
us,106,"The Doctor's Farmacy with Mark Hyman, M.D.",1382804627,2020-12-04,Medicine,Dr. Mark Hyman
us,107,Freakonomics Radio,354668519,2020-10-22,Documentary,Freakonomics Radio + Stitcher
us,108,The Candace Owens Show,1454587745,2020-10-18,Education,PragerU
us,109,WorkLife with Adam Grant,1346314086,2021-02-23,Management,TED
us,110,True Crime Garage,1062418176,2020-10-28,True Crime,TRUE CRIME GARAGE
us,111,Mark Levin Podcast,209377688,2020-11-04,News Commentary,Westwood One Podcast Network
us,112,The Matt Walsh Show,1367210511,2021-01-06,News Commentary,The Daily Wire
us,113,Anything Goes with Emma Chamberlain,1458568923,2021-02-18,Personal Journals,Emma Chamberlain and Ramble
us,114,Maintenance Phase,1535408667,2021-03-02,Health & Fitness,Aubrey Gordon & Michael Hobbes
us,115,The Glenn Beck Program,620967489,2020-10-27,News Commentary,Blaze Podcast Network
us,116,Dr. Death,1421573955,2020-10-27,True Crime,Wondery
us,117,Reparations: The Big Payback,1548013961,2021-02-18,Documentary,The Black Effect & iHeartRadio
us,118,NPR News Now,121493675,2020-11-04,Daily News,NPR
us,119,Bridgerton: The Official Podcast,1551820452,2021-02-25,TV & Film,Shondaland Audio & iHeartRadio
us,120,Lore,978052928,2020-10-26,History,Aaron Mahnke and Grim & Mild
us,121,Made For This with Jennie Allen,1466667116,2021-03-02,Christianity,Jennie Allen
us,122,Sex With Emily,82456189,2021-02-09,Sexuality,"Emily Morse, Doctor of Human Sexuality - SexWithEmily.com"
us,123,The Pat McAfee Show 2.0,1435183458,2020-10-29,Sports,Pat McAfee
us,124,Stuff You Missed in History Class,283605519,2020-11-02,History,iHeartRadio
us,125,The Mindset Mentor,1033048640,2021-01-08,Mental Health,Rob Dial and Kast Media
us,126,99% Invisible,394775318,2020-10-27,Design,Roman Mars
